user_id,date,steps,calories_burned,distance_km,active_minutes,sleep_hours,heart_rate_avg,workout_type,weather_conditions,location,mood,sleep_quantile,day_of_week,below_avg_sleep,workout_intensity
660,2025-02-27,15995,2877.14,8.15,1377,1.4,95,,Snow,Gym,Stressed,0,Thursday,1,
761,2025-01-11,2343,3320.13,0.06,509,0.8,162,Running,Snow,Park,Neutral,0,Saturday,1,High
398,2024-06-16,14555,3082.19,8.1,564,0.6,120,Walking,Snow,Gym,Tired,0,Sunday,1,Low
984,2023-10-15,29850,3875.64,4.56,525,2.8,164,Walking,Snow,Home,Happy,0,Sunday,1,Low
236,2023-10-18,15676,2551.24,13.51,331,0.3,162,Cycling,Rain,Other,Stressed,0,Wednesday,1,Medium
169,2025-09-13,17579,3152.16,11.64,126,1.5,165,Running,Snow,Park,Happy,0,Saturday,1,High
368,2024-02-11,17323,3020.01,1.26,1010,2.2,99,Yoga,Snow,Gym,Tired,0,Sunday,1,Low
189,2024-05-26,13181,3540.27,16.77,661,2.7,107,Running,Snow,Home,Tired,0,Sunday,1,High
714,2024-11-28,26783,2418.17,18.07,337,1.8,99,Yoga,Snow,Other,Stressed,0,Thursday,1,Low
768,2024-01-16,12567,1636.18,9.94,512,1.2,120,Cycling,Fog,Park,Neutral,0,Tuesday,1,Medium
267,2024-03-12,6941,3157.46,6.23,246,0.1,141,Swimming,Rain,Home,Happy,0,Tuesday,1,Medium
994,2024-06-08,16439,2973.12,19.6,1362,0.3,157,,Clear,Home,Tired,0,Saturday,1,
835,2025-03-02,22698,3235.51,0.31,224,1.9,112,Swimming,Fog,Gym,Stressed,0,Sunday,1,Medium
527,2024-08-11,8261,1915.33,10.78,1344,1.8,159,Cycling,Snow,Park,Neutral,0,Sunday,1,Medium
221,2025-02-01,10473,2978.8,1.5,313,2.8,158,Walking,Snow,Office,Stressed,0,Saturday,1,Low
167,2023-05-03,8423,3720.37,17.37,322,0.7,116,Yoga,Snow,Office,Happy,0,Wednesday,1,Low
73,2024-06-23,10489,2672.68,14.93,893,1.3,92,Running,Fog,Gym,Neutral,0,Sunday,1,High
433,2024-08-02,23919,2579.71,12.95,957,2.9,95,Cycling,Clear,Office,Neutral,0,Friday,1,Medium
541,2025-01-27,27200,3835.72,8.67,200,1.2,170,Cycling,Fog,Park,Stressed,0,Monday,1,Medium
405,2024-01-08,26312,3807.3,6.62,999,2.6,167,Swimming,Rain,Gym,Stressed,0,Monday,1,Medium
646,2023-08-20,5975,2275.61,6.27,1209,1.9,124,Walking,Clear,Other,Tired,0,Sunday,1,Low
287,2023-07-02,28969,2088.46,18.62,1431,2.6,96,,Snow,Other,Tired,0,Sunday,1,
238,2023-09-04,14338,3087.88,6.12,1089,0.2,177,Running,Rain,Gym,Neutral,0,Monday,1,High
640,2025-03-22,17289,2789.08,1.37,654,0.9,104,Walking,Rain,Office,Stressed,0,Saturday,1,Low
629,2025-08-22,27599,2563.5,8.35,1015,2.6,89,Walking,Snow,Park,Happy,0,Friday,1,Low
528,2024-05-18,88,2855.47,10.01,52,1.3,138,Gym Workout,Rain,Gym,Neutral,0,Saturday,1,High
620,2024-10-20,8675,2480.85,11.24,269,2.0,169,,Snow,Home,Tired,0,Sunday,1,
906,2024-05-25,22463,2526.41,10.78,995,2.5,173,,Clear,Park,Tired,0,Saturday,1,
607,2024-08-04,18002,1694.08,10.19,1163,3.0,97,Running,Fog,Office,Happy,0,Sunday,1,High
365,2023-04-20,29074,1504.74,13.81,1361,0.4,142,Gym Workout,Clear,Park,Tired,0,Thursday,1,High
196,2023-04-30,2251,1730.5,5.62,449,2.3,175,Walking,Clear,Park,Stressed,0,Sunday,1,Low
596,2025-01-06,23179,3603.67,8.05,1172,2.8,144,Yoga,Fog,Office,Tired,0,Monday,1,Low
296,2024-04-17,5558,2852.85,2.67,768,0.0,154,Walking,Fog,Home,Stressed,0,Wednesday,1,Low
280,2025-03-31,8595,2218.29,3.39,719,3.0,89,Yoga,Rain,Gym,Neutral,0,Monday,1,Low
930,2023-07-17,22114,3736.76,9.36,1433,0.3,136,Running,Fog,Home,Stressed,0,Monday,1,High
216,2023-05-25,8601,2515.21,17.29,261,1.9,137,,Rain,Park,Tired,0,Thursday,1,
870,2024-12-10,27955,1892.52,14.57,1314,2.8,138,Running,Fog,Other,Neutral,0,Tuesday,1,High
23,2023-11-03,15431,3604.35,13.49,478,0.6,78,Yoga,Snow,Home,Stressed,0,Friday,1,Low
793,2025-01-06,25895,1693.22,13.89,477,0.6,109,Gym Workout,Snow,Other,Happy,0,Monday,1,High
